account_id,symbol,quantity
ACC-0001,MSTR,21
ACC-0004,PYPL,45
ACC-0007,SOFI,63
ACC-0013,TSLA,12
ACC-0014,COIN,22
ACC-0019,SOFI,32
ACC-0023,VRT,74
ACC-0025,INTC,37
ACC-0026,BA,15
ACC-0028,MSFT,64
ACC-0029,AMZN,78
ACC-0031,SHOP,31
ACC-0034,TSM,56
ACC-0035,COIN,37
ACC-0037,META,21
ACC-0038,IREN,54
ACC-0039,MSFT,3
ACC-0040,QQQ,1
ACC-0043,AMD,33
ACC-0044,XOM,49
ACC-0045,CRWD,31
ACC-0046,SMCI,10
ACC-0052,WMT,76
ACC-0053,NFLX,45
ACC-0056,META,17
ACC-0057,META,59
ACC-0058,SNAP,53
ACC-0061,META,15
ACC-0066,MSFT,49
ACC-0068,MSTR,61
ACC-0076,META,3
ACC-0077,MRVL,72
ACC-0078,NVDA,78
ACC-0079,DIS,39
ACC-0080,IREN,28
ACC-0082,PYPL,73
ACC-0085,NVDA,68
ACC-0086,AAPL,75
ACC-0090,AMZN,31
ACC-0093,MSTR,71
ACC-0094,UNH,54
ACC-0098,NVDA,8
ACC-0099,MSFT,7
ACC-0100,NFLX,7
ACC-0102,PYPL,66
ACC-0103,SMCI,59
ACC-0105,MSFT,23
ACC-0106,WMT,23
ACC-0107,PLTR,59
ACC-0110,SHOP,51
ACC-0113,ARM,77
ACC-0114,TSLA,39
ACC-0115,CRWD,77
ACC-0116,UBER,15
ACC-0119,AVGO,31
ACC-0120,AVGO,52
ACC-0126,MSTR,56
ACC-0129,COIN,17
ACC-0131,NVDA,8
ACC-0132,CRWD,25
ACC-0133,SOXL,67
ACC-0136,INTC,63
ACC-0138,MSFT,10
ACC-0139,META,8
ACC-0140,RIVN,69
ACC-0141,COIN,34
ACC-0142,SOXL,32
ACC-0143,GOOGL,61
ACC-0144,TSLA,42
ACC-0145,PLTR,9
ACC-0146,SPY,49
ACC-0147,QQQ,12
ACC-0148,MSTR,22
ACC-0150,PYPL,35
ACC-0151,PYPL,36
ACC-0152,DIS,47
ACC-0153,HOOD,80
ACC-0154,MSFT,64
ACC-0156,SOFI,22
ACC-0160,GOOGL,51
ACC-0161,AMZN,60
ACC-0165,MRVL,79
ACC-0166,RIVN,2
ACC-0172,NVDA,57
ACC-0173,PLTR,74
ACC-0175,VRT,71
ACC-0180,META,36
ACC-0181,BA,43
ACC-0182,UBER,63
ACC-0183,SPY,60
ACC-0184,CRWD,58
ACC-0186,MSFT,68
ACC-0187,BA,34
ACC-0191,SPY,25
ACC-0193,QQQ,54
ACC-0194,META,33
ACC-0195,COIN,23
ACC-0196,VRT,47
ACC-0197,NFLX,71
ACC-0198,VRT,46
ACC-0200,COIN,13
