account_id,symbol,trade_date,quantity,price
ACC-0001,MSTR,2025-06-11,12,54.34
ACC-0001,MSTR,2025-06-16,-27,53.63
ACC-0001,AAPL,2025-07-02,-48,127.68
ACC-0001,MSTR,2025-08-25,51,63.91
ACC-0001,MSTR,2025-09-01,10,66.11
ACC-0001,MSTR,2025-09-02,-48,65.75
ACC-0001,MSTR,2025-10-24,31,69.45
ACC-0001,MSTR,2025-11-04,-23,67.78
ACC-0001,AAPL,2025-12-10,58,136.17
ACC-0001,SOFI,2026-02-19,-33,19.56
ACC-0001,AAPL,2026-02-23,-48,143.69
ACC-0001,UNH,2026-03-27,-58,123.88
ACC-0001,AAPL,2026-05-11,38,155.28
ACC-0001,AAPL,2026-06-25,16,132.96
ACC-0002,SPY,2025-06-05,-40,171.11
ACC-0002,SPY,2025-06-11,-14,169.24
ACC-0002,XOM,2025-07-21,-26,228.58
ACC-0002,XOM,2025-07-22,-51,231.23
ACC-0002,XOM,2025-07-31,-7,242.27
ACC-0002,AAPL,2025-08-05,56,123.88
ACC-0002,SPY,2025-08-19,-50,171.85
ACC-0002,SPY,2025-08-25,50,172.20
ACC-0002,SPY,2025-08-26,-41,174.32
ACC-0002,SPY,2025-08-27,-14,173.20
ACC-0002,SPY,2025-08-28,47,176.06
ACC-0002,SPY,2025-09-16,-57,171.55
ACC-0002,SPY,2025-09-18,39,163.64
ACC-0002,PYPL,2025-10-13,-54,13.63
ACC-0002,SPY,2025-12-01,38,167.52
ACC-0002,SPY,2025-12-04,-26,162.58
ACC-0002,RIVN,2025-12-25,-24,400.66
ACC-0002,XOM,2026-01-02,-17,328.44
ACC-0002,SPY,2026-01-06,54,174.77
ACC-0002,XOM,2026-01-09,32,329.14
ACC-0002,XOM,2026-01-13,-46,334.62
ACC-0002,XOM,2026-01-29,-58,304.80
ACC-0002,MSTR,2026-01-30,4,57.28
ACC-0002,XOM,2026-02-03,49,293.44
ACC-0002,XOM,2026-02-24,-50,273.86
ACC-0002,AMD,2026-02-25,-29,22.00
ACC-0002,XOM,2026-03-02,-48,256.58
ACC-0002,ARM,2026-03-23,-36,185.04
ACC-0002,SPY,2026-04-02,-54,148.02
ACC-0002,XOM,2026-04-07,-29,236.50
ACC-0002,XOM,2026-04-24,12,245.45
ACC-0002,XOM,2026-05-04,-34,269.10
ACC-0002,TSLA,2026-05-11,-56,233.28
ACC-0002,SPY,2026-05-15,34,142.86
